RANKING;COUNTRY;COU;PLAYER;MARKED;MATCHES;GOALS;DEBUT;POSITION;WC;WC_DESC;UCL/MUNDIALCLUB;UCL_DESC;EUROAMERICAN;EURO_DESC;BOTH;SOLO_AWARD;SOLO_AWARD2;AWARD_DESC;ENGLAND;SPAIN;ITALY;GERMANY;FRANCE;NONSTRIKER
42;CIV;CIV;Yan Diomande;0;4;2;2025;LEFT;0;;0;;0;;0;0;0;;0;0;0;0;0;0
42;CIV;CIV;Evann Guessand;0;15;1.75;2024;RIGHT;0;;0;;0;;0;0;0;;0;0;0;0;0;0
42;CIV;CIV;Amad Diallo;0;11;2.25;2021;RIGHT;0;;0;;0;;0;0;0;;1;0;0;0;0;0
42;CIV;CIV;Vakoun Bayo;0;9;3;2018;CENTER;0;;0;;0;;0;0;0;;0;0;0;0;0;0
42;CIV;CIV;Oumar Diakite;0;25;6;2023;CENTER;0;;0;;1;2024 African Cup of Nations;0;0;0;;0;0;0;0;0;0
42;CIV;CIV;Sebastien Haller;0;34;11;2020;CENTER;0;;0;;1;2024 African Cup of Nations;0;1;0;;0;0;0;0;0;0
41;HUN;HUN;Szabolcs Schon;0;9;0;2021;LEFT;0;;0;;0;;0;0;0;;0;0;0;0;0;0
41;HUN;HUN;Daniel Lukacs;0;5;2;2025;CENTER;0;;0;;0;;0;1;0;;0;0;0;0;0;0
41;HUN;HUN;Zsombor Gruber;0;3;1;2024;CENTER;0;;0;;0;;0;0;0;;0;0;0;0;0;0
41;HUN;HUN;Martin Adam;0;28;3;2022;CENTER;0;;0;;0;;0;1;0;;0;0;0;0;0;0
41;HUN;HUN;Barnabás Varga;0;28;13;2023;CENTER;0;;0;;0;;0;1;0;;0;0;0;0;0;0
41;HUN;HUN;Dominik Szobozlai;1;61;17;2019;CENTER;0;;0;;0;;0;1;0;;1;0;0;1;0;1
40;TUN;TUN;Sebastian Tounekti;0;4;0;2021;LEFT;0;;0;;0;;0;0;0;;0;0;0;0;0;0
40;TUN;TUN;Mortadha Ben Ouanes;0;15;0;2019;LEFT;0;;0;;0;;0;0;0;;0;0;0;0;0;0
40;TUN;TUN;Ismael Gharbi;0;6;1;2025;LEFT;0;;0;;0;;0;0;0;;0;0;0;0;1;0
40;TUN;TUN;Amor Layouni;0;12;1;2019;RIGHT;0;;0;;0;;0;0;0;;0;0;0;0;0;0
40;TUN;TUN;Issam Jebali;0;16;2;2018;CENTER;0;;0;;0;;0;0;0;;0;0;0;0;0;0
40;TUN;TUN;Elias Saad;0;9;3;2024;LEFT;0;;0;;0;;0;0;0;;0;0;0;0;0;0
40;TUN;TUN;Elias Achouri;0;24;3;2022;LEFT;0;;0;;0;;0;0;0;;0;0;0;0;0;0
40;TUN;TUN;Hazem Mastouri;0;12;4;2024;CENTER;0;;0;;0;;0;0;0;;0;0;0;0;0;0
40;TUN;TUN;Seifeddine Jaziri;0;40;11;2016;CENTER;0;;0;;0;;0;0;0;;0;0;0;0;0;0
40;TUN;TUN;Naim Sliti;0;80;14;2016;LEFT;0;;0;;0;;0;0;0;;0;0;0;0;0;0
40;TUN;TUN;Firas Chaouat;0;21;4;2918;CENTER;0;;0;;0;;0;1;0;;0;0;0;0;0;0
39;PAR;PAR;Ronaldo Martinez;0;4;0;2025;CENTER;0;;0;;0;;0;0;0;;0;0;0;0;0;0
39;PAR;PAR;Ramon Sosa;0;27;1;2022;LEFT;0;;0;;0;;0;0;0;;0;0;0;0;0;0
39;PAR;PAR;Antonio Sanabria;0;45;7;2013;CENTER;0;;0;;0;;0;0;0;;0;0;0;0;0;0
39;PAR;PAR;Angel Romero;0;52;8;2013;RIGHT;0;;0;;0;;0;0;0;;0;0;0;0;0;0
39;PAR;PAR;Miguel Almiron;0;73;9;2015;RIGHT;0;;0;;0;;0;0;0;;1;0;0;0;0;0
39;PAR;PAR;Alex Arce;0;13;1;2024;CENTER;0;;0;;0;;0;1;0;;0;0;0;0;0;0
39;PAR;PAR;Gabriel Avalos;0;21;2;2021;CENTER;0;;0;;0;;0;1;0;;0;0;0;0;0;0
38;NGA;NGA;Chidera Ejuke;0;10;1;2020;LEFT;0;;0;;0;;0;0;0;;0;0;0;0;0;0
38;NGA;NGA;Akor Adams;0;4;2;2025;CENTER;0;;0;;0;;0;0;0;;0;0;0;0;0;0
38;NGA;NGA;Samuel Chukwueze;0;51;7;2018;RIGHT;0;;0;;0;;0;0;0;;0;1;0;0;0;0
38;NGA;NGA;Alex Iwobi;0;91;10;2015;LEFT;0;;0;;0;;0;0;0;;1;0;0;0;0;0
38;NGA;NGA;Tolu Arokodare;0;10;2;2025;CENTER;0;;0;;0;;0;1;0;;0;0;0;0;0;0
38;NGA;NGA;Ademola Lookman;0;34;8;2022;CENTER;0;;0;;0;;0;1;0;;0;0;1;0;0;0
38;NGA;NGA;Moses Simon;0;87;10;2015;LEFT;0;;0;;0;;0;1;0;;0;0;0;0;1;0
38;NGA;NGA;Victor Osimhen;1;46;31;2017;CENTER;0;;0;;0;;0;1;0;;0;0;1;0;0;0
37;SRB;SRB;Petar Ratkov;0;3;0;2023;CENTER;0;;0;;0;;0;0;0;;0;0;0;0;0;0
37;SRB;SRB;Andrija Zivkovic;0;61;1;2013;RIGHT;0;;0;;0;;0;0;0;;0;0;0;0;0;0
37;SRB;SRB;Nemanja Radonjic;0;46;5;2017;LEFT;0;;0;;0;;0;0;0;;0;0;0;0;0;0
37;SRB;SRB;Luka Jovic;0;50;11;2018;CENTER;0;;1;21/22 Champions League;0;;0;0;0;;0;1;0;1;0;0
37;SRB;SRB;Dusan Vlahovic;1;41;16;2020;CENTER;0;;0;;0;;0;1;0;;0;0;1;0;0;0
36;SCO;SCO;Lewis Morgan;0;7;0;2018;LEFT;0;;0;;0;;0;0;0;;0;0;0;0;0;0
36;SCO;SCO;Tommy Conway;0;6;0;2024;CENTER;0;;0;;0;;0;0;0;;0;0;0;0;0;0
36;SCO;SCO;Ben Gannon-Doak;0;12;1;2024;RIGHT;0;;0;;0;;0;0;0;;1;0;0;0;0;0
36;SCO;SCO;James Forrest;0;39;5;2011;RIGHT;0;;0;;0;;0;0;0;;0;0;0;0;0;0
36;SCO;SCO;Lyndon Dykes;0;48;10;2020;CENTER;0;;0;;0;;0;0;0;;0;0;0;0;0;0
36;SCO;SCO;Che Adams;0;45;11;2021;CENTER;0;;0;;0;;0;0;0;;0;0;0;0;0;0
36;SCO;SCO;Scott McTominay;1;67;14;2018;CENTER;0;;0;;0;;0;0;0;;1;0;1;0;0;1
36;SCO;SCO;Kevin Nisbet;0;11;1;2021;CENTER;0;;0;;0;;0;1;0;;0;0;0;0;0;0
36;SCO;SCO;Lawrence Shankland;0;18;4;2019;CENTER;0;;0;;0;;0;1;0;;0;0;0;0;0;0
